employee,day_of_week,avg_count
allen-p,0,5.0
allen-p,1,3.0
allen-p,2,1.0
allen-p,3,2.5
allen-p,4,1.2
allen-p,5,1.0
allen-p,6,2.5
arnold-j,0,5.222222222222222
arnold-j,1,2.5454545454545454
arnold-j,2,1.3846153846153846
arnold-j,3,1.6
arnold-j,4,2.625
arnold-j,5,1.3333333333333333
arnold-j,6,1.6
arora-h,0,4.0
arora-h,1,2.8
arora-h,2,2.0
arora-h,3,2.2
arora-h,4,1.8
arora-h,5,2.5
arora-h,6,1.3333333333333333
badeer-r,2,1.0
badeer-r,3,2.0
bailey-s,0,1.0
bailey-s,3,1.0
bailey-s,4,1.0
bass-e,0,5.090909090909091
bass-e,1,5.6923076923076925
bass-e,2,6.583333333333333
bass-e,3,4.2727272727272725
bass-e,4,3.0
bass-e,5,2.6666666666666665
bass-e,6,1.6666666666666667
baughman-d,0,6.666666666666667
baughman-d,1,6.75
baughman-d,2,6.0
baughman-d,3,7.222222222222222
baughman-d,4,4.1
baughman-d,5,3.4
baughman-d,6,3.857142857142857
beck-s,0,8.052631578947368
beck-s,1,7.454545454545454
beck-s,2,8.842105263157896
beck-s,3,6.157894736842105
beck-s,4,7.277777777777778
beck-s,5,1.3333333333333333
beck-s,6,1.2727272727272727
benson-r,0,2.857142857142857
benson-r,1,3.1333333333333333
benson-r,2,3.7857142857142856
benson-r,3,4.230769230769231
benson-r,4,4.0
benson-r,5,1.0
benson-r,6,2.6666666666666665
blair-l,0,5.769230769230769
blair-l,1,2.5384615384615383
blair-l,2,4.125
blair-l,3,3.6666666666666665
blair-l,4,3.933333333333333
blair-l,5,2.5
blair-l,6,3.0
brawner-s,0,2.888888888888889
brawner-s,1,2.7142857142857144
brawner-s,2,1.7692307692307692
brawner-s,3,1.75
brawner-s,4,1.875
brawner-s,6,1.0
buy-r,0,8.916666666666666
buy-r,1,8.535714285714286
buy-r,2,9.37037037037037
buy-r,3,7.52
buy-r,4,8.192307692307692
buy-r,5,2.0
buy-r,6,2.5
campbell-l,0,9.782608695652174
campbell-l,1,8.72
campbell-l,2,9.68
campbell-l,3,10.833333333333334
campbell-l,4,9.458333333333334
campbell-l,5,2.909090909090909
campbell-l,6,3.3333333333333335
carson-m,0,2.7
carson-m,1,3.1666666666666665
carson-m,2,2.5384615384615383
carson-m,3,2.75
carson-m,4,1.8571428571428572
carson-m,5,1.0
carson-m,6,1.1666666666666667
cash-m,0,5.466666666666667
cash-m,1,5.466666666666667
cash-m,2,3.4
cash-m,3,3.25
